,password,name,view,saved_for_later,added_to_cart,bought,review,like
user11,12345,Emma Williams,"['prod65', 'prod69', 'prod87', 'prod14', 'prod24', 'prod91', 'prod96', 'prod31', 'prod12', 'prod76', 'prod98', 'prod8', 'prod22', 'prod82', 'prod63', 'prod41', 'prod60', 'prod33', 'prod39', 'prod74', 'prod100', 'prod15']","['prod72', 'prod30', 'prod60', 'prod16', 'prod61', 'prod86']","['prod23', 'prod28', 'prod20', 'prod80']","['prod74', 'prod62', 'prod68', 'prod85', 'prod71', 'prod96', 'prod9']","{'prod62': 1, 'prod74': 5}","['prod11', 'prod89', 'prod83', 'prod45', 'prod30', 'prod15', 'prod41', 'prod90', 'prod49', 'prod17', 'prod70', 'prod47', 'prod67', 'prod59', 'prod68', 'prod20', 'prod86', 'prod64', 'prod97', 'prod31', 'prod36', 'prod46', 'prod48', 'prod33', 'prod66', 'prod79', 'prod14', 'prod84', 'prod77', 'prod39', 'prod91', 'prod52', 'prod13', 'prod40']"
user12,12345,Lucas Rodriguez,"['prod33', 'prod56', 'prod7', 'prod67', 'prod50', 'prod2', 'prod37', 'prod31', 'prod64', 'prod44', 'prod25', 'prod6', 'prod45', 'prod46', 'prod20', 'prod1', 'prod90', 'prod34', 'prod15', 'prod91', 'prod84', 'prod27', 'prod98', 'prod95', 'prod71', 'prod70', 'prod60', 'prod22', 'prod62', 'prod76', 'prod4', 'prod12', 'prod17', 'prod42', 'prod30', 'prod55', 'prod41', 'prod52', 'prod78', 'prod43', 'prod93']","['prod3', 'prod56', 'prod99', 'prod75', 'prod79']","['prod34', 'prod100', 'prod5']","['prod91', 'prod27', 'prod25']","{'prod91': 5, 'prod25': 3}","['prod43', 'prod35', 'prod100', 'prod55', 'prod9', 'prod51', 'prod18', 'prod34', 'prod79', 'prod6', 'prod52', 'prod65', 'prod76', 'prod7', 'prod21', 'prod22', 'prod37', 'prod75', 'prod46', 'prod92']"
user13,12345,Harper Lewis,"['prod34', 'prod80', 'prod63', 'prod71', 'prod84', 'prod9', 'prod5', 'prod58', 'prod39', 'prod89', 'prod47', 'prod30', 'prod46', 'prod28', 'prod81', 'prod6', 'prod66', 'prod12', 'prod43', 'prod7', 'prod44', 'prod95', 'prod93', 'prod8', 'prod1', 'prod62', 'prod76']",[],['prod1'],"['prod36', 'prod75', 'prod4', 'prod73', 'prod22', 'prod29']","{'prod29': 2, 'prod4': 1, 'prod73': 3, 'prod75': 1, 'prod36': 2}","['prod9', 'prod23', 'prod76', 'prod18', 'prod72', 'prod84', 'prod56', 'prod10', 'prod49', 'prod27', 'prod13', 'prod38', 'prod89', 'prod4', 'prod81', 'prod93', 'prod28']"
user14,12345,Oliver Scott,"['prod75', 'prod27', 'prod63', 'prod100', 'prod95', 'prod71', 'prod89', 'prod7', 'prod72']","['prod77', 'prod68', 'prod33']",['prod22'],"['prod6', 'prod66', 'prod76', 'prod36', 'prod16', 'prod71', 'prod40']","{'prod36': 3, 'prod66': 5, 'prod71': 2, 'prod6': 1}","['prod68', 'prod50', 'prod28', 'prod59', 'prod85', 'prod88', 'prod43', 'prod91', 'prod51', 'prod76']"
user15,12345,Amelia Turner,"['prod39', 'prod76', 'prod95', 'prod94', 'prod62', 'prod65', 'prod44', 'prod20', 'prod33', 'prod66', 'prod45', 'prod1', 'prod96', 'prod25', 'prod52', 'prod77', 'prod3', 'prod13', 'prod37', 'prod17', 'prod34']","['prod55', 'prod100', 'prod99', 'prod67', 'prod36', 'prod97', 'prod1', 'prod58', 'prod66']","['prod35', 'prod34', 'prod63', 'prod46', 'prod17', 'prod72', 'prod39', 'prod33', 'prod11']","['prod53', 'prod69', 'prod44', 'prod4', 'prod58', 'prod22', 'prod40', 'prod45', 'prod29', 'prod67', 'prod18', 'prod8', 'prod72', 'prod16']","{'prod53': 3, 'prod8': 2, 'prod67': 3, 'prod58': 2}","['prod1', 'prod5', 'prod95', 'prod56', 'prod63', 'prod76', 'prod98', 'prod42', 'prod57', 'prod21', 'prod22', 'prod7', 'prod17', 'prod16', 'prod31', 'prod26', 'prod37', 'prod14', 'prod84', 'prod94', 'prod87', 'prod51', 'prod48', 'prod97', 'prod64', 'prod93', 'prod24', 'prod80', 'prod59', 'prod65', 'prod30', 'prod10', 'prod40', 'prod11', 'prod28', 'prod44', 'prod61', 'prod41']"
user16,12345,Elijah Morgan,"['prod27', 'prod45', 'prod47', 'prod12', 'prod4', 'prod59', 'prod29', 'prod41', 'prod25', 'prod53', 'prod68', 'prod28', 'prod38', 'prod61', 'prod77', 'prod26', 'prod50', 'prod8', 'prod58', 'prod78', 'prod10', 'prod20', 'prod93', 'prod52', 'prod6', 'prod88', 'prod80', 'prod42']","['prod27', 'prod45', 'prod76', 'prod26', 'prod52', 'prod65', 'prod57']",['prod63'],"['prod53', 'prod55', 'prod41', 'prod63', 'prod58', 'prod6', 'prod31', 'prod91', 'prod45', 'prod95', 'prod27', 'prod36']","{'prod36': 1, 'prod95': 2, 'prod6': 4, 'prod55': 5, 'prod27': 3, 'prod31': 2, 'prod45': 1}","['prod33', 'prod1', 'prod32', 'prod46', 'prod69', 'prod59', 'prod41', 'prod60', 'prod16', 'prod52', 'prod61', 'prod21', 'prod90', 'prod26', 'prod99', 'prod92', 'prod68', 'prod64', 'prod79', 'prod39', 'prod27', 'prod9', 'prod77', 'prod74', 'prod62', 'prod43', 'prod87', 'prod8', 'prod55', 'prod12', 'prod70', 'prod28', 'prod48', 'prod17', 'prod3', 'prod36', 'prod91']"
user17,12345,Charlotte White,"['prod58', 'prod10', 'prod61', 'prod31', 'prod71', 'prod78', 'prod43', 'prod14', 'prod21', 'prod69', 'prod17', 'prod64', 'prod46', 'prod27', 'prod97', 'prod52', 'prod12', 'prod3', 'prod37', 'prod16', 'prod68', 'prod38']","['prod25', 'prod16', 'prod72', 'prod94', 'prod88']","['prod96', 'prod39', 'prod53', 'prod20', 'prod56', 'prod47']","['prod44', 'prod52', 'prod29', 'prod97', 'prod48', 'prod53', 'prod10', 'prod93', 'prod26', 'prod6']","{'prod10': 1, 'prod26': 3, 'prod97': 3, 'prod93': 1, 'prod48': 4, 'prod6': 4, 'prod52': 4, 'prod53': 1}","['prod32', 'prod55', 'prod62', 'prod42', 'prod72', 'prod10', 'prod19', 'prod91', 'prod60', 'prod44', 'prod82', 'prod79', 'prod51', 'prod38', 'prod47', 'prod40', 'prod74', 'prod98', 'prod15', 'prod88', 'prod75', 'prod14', 'prod1', 'prod100', 'prod96', 'prod52', 'prod12']"
user18,12345,Grayson Hall,"['prod64', 'prod41', 'prod62', 'prod16', 'prod76', 'prod10', 'prod29', 'prod44', 'prod57', 'prod96', 'prod12', 'prod52', 'prod7', 'prod20', 'prod25', 'prod13', 'prod89', 'prod65', 'prod34', 'prod56', 'prod55', 'prod54', 'prod83', 'prod24', 'prod68', 'prod28', 'prod94']","['prod27', 'prod1', 'prod43', 'prod42', 'prod34', 'prod45', 'prod28']","['prod18', 'prod38', 'prod94', 'prod29', 'prod16', 'prod40', 'prod72', 'prod30', 'prod79']","['prod55', 'prod77', 'prod50', 'prod59', 'prod39', 'prod74', 'prod9', 'prod33', 'prod21', 'prod91']","{'prod50': 2, 'prod74': 4, 'prod9': 5, 'prod21': 4, 'prod91': 1}","['prod16', 'prod12', 'prod56', 'prod2', 'prod96', 'prod73', 'prod5', 'prod26', 'prod43', 'prod23', 'prod1', 'prod64', 'prod9', 'prod81', 'prod48', 'prod38', 'prod46', 'prod20', 'prod100', 'prod31', 'prod99', 'prod24', 'prod8', 'prod34', 'prod53', 'prod36', 'prod55', 'prod87', 'prod22', 'prod25', 'prod40', 'prod93', 'prod60', 'prod33', 'prod35', 'prod49', 'prod18', 'prod76', 'prod77', 'prod89', 'prod92', 'prod67', 'prod71', 'prod39', 'prod79', 'prod90']"
user19,12345,Abigail Green,['prod100'],"['prod71', 'prod16', 'prod99', 'prod79', 'prod17', 'prod91']","['prod93', 'prod3', 'prod31', 'prod7', 'prod73', 'prod2', 'prod58']","['prod43', 'prod84', 'prod65', 'prod14', 'prod56']",{'prod84': 3},"['prod50', 'prod95', 'prod74', 'prod9', 'prod7', 'prod97', 'prod32', 'prod82', 'prod26', 'prod51', 'prod13', 'prod83']"
user20,12345,Carter Adams,"['prod44', 'prod12', 'prod45', 'prod8', 'prod6', 'prod21', 'prod46', 'prod71', 'prod60']","['prod62', 'prod90']","['prod84', 'prod4', 'prod57', 'prod20', 'prod98', 'prod49', 'prod58', 'prod75']","['prod6', 'prod10', 'prod54']","{'prod10': 1, 'prod6': 5, 'prod54': 2}","['prod58', 'prod33', 'prod77', 'prod29', 'prod26', 'prod43', 'prod55', 'prod87', 'prod90', 'prod13', 'prod44', 'prod8', 'prod39', 'prod72', 'prod35', 'prod68', 'prod95', 'prod80']"
user21,12345,Evelyn Mitchell,"['prod42', 'prod10', 'prod58', 'prod92', 'prod16', 'prod61', 'prod6', 'prod35', 'prod59', 'prod20', 'prod9', 'prod71', 'prod18', 'prod54', 'prod2', 'prod78', 'prod27', 'prod96', 'prod70', 'prod26', 'prod55', 'prod95', 'prod85', 'prod100', 'prod86', 'prod51', 'prod99', 'prod97', 'prod80']","['prod83', 'prod50', 'prod26']","['prod1', 'prod88', 'prod16']","['prod56', 'prod22', 'prod54', 'prod69', 'prod66']",{'prod69': 4},"['prod71', 'prod27', 'prod39', 'prod55', 'prod81', 'prod28', 'prod89', 'prod52', 'prod99', 'prod100', 'prod94', 'prod43', 'prod93', 'prod91', 'prod86', 'prod30', 'prod61', 'prod73', 'prod46', 'prod57', 'prod31', 'prod79', 'prod64', 'prod11', 'prod10', 'prod37', 'prod26', 'prod62']"
user22,12345,Sebastian Martinez,"['prod78', 'prod1']","['prod83', 'prod31', 'prod28', 'prod78', 'prod59']","['prod32', 'prod73', 'prod62', 'prod37', 'prod42', 'prod90']","['prod22', 'prod43', 'prod33', 'prod67', 'prod13', 'prod10', 'prod91', 'prod15']","{'prod43': 4, 'prod91': 2, 'prod13': 2, 'prod22': 2, 'prod10': 4, 'prod67': 5, 'prod33': 5}","['prod98', 'prod28', 'prod65', 'prod7', 'prod84', 'prod43', 'prod15', 'prod53', 'prod80', 'prod32', 'prod93', 'prod48', 'prod10', 'prod35', 'prod51', 'prod100', 'prod57', 'prod69', 'prod76', 'prod30', 'prod12', 'prod96', 'prod31', 'prod17', 'prod72', 'prod39', 'prod38', 'prod90', 'prod3']"
user23,12345,Scarlett Davis,"['prod24', 'prod81', 'prod28', 'prod93', 'prod1', 'prod40', 'prod13', 'prod44', 'prod49', 'prod6', 'prod52', 'prod57', 'prod38', 'prod71', 'prod4', 'prod73', 'prod31', 'prod18', 'prod25', 'prod83']","['prod59', 'prod78', 'prod44']","['prod52', 'prod47', 'prod18', 'prod43']","['prod97', 'prod87', 'prod51', 'prod46', 'prod68', 'prod45', 'prod100', 'prod2']","{'prod2': 4, 'prod51': 4, 'prod46': 2, 'prod68': 3, 'prod87': 4, 'prod100': 1}","['prod33', 'prod4', 'prod61', 'prod85', 'prod28', 'prod32', 'prod6', 'prod63', 'prod95', 'prod37', 'prod79', 'prod76', 'prod93']"
user24,12345,Logan Wilson,"['prod15', 'prod56', 'prod85', 'prod92', 'prod8', 'prod48', 'prod28', 'prod60', 'prod93', 'prod53', 'prod41', 'prod98', 'prod14', 'prod78', 'prod66', 'prod76', 'prod10', 'prod69', 'prod36', 'prod65']","['prod84', 'prod9', 'prod100']","['prod25', 'prod53', 'prod36', 'prod60', 'prod38']","['prod93', 'prod45', 'prod16', 'prod56', 'prod94']",{'prod45': 3},"['prod77', 'prod26', 'prod43', 'prod89', 'prod47', 'prod37', 'prod30', 'prod13', 'prod68', 'prod12', 'prod85', 'prod1', 'prod5', 'prod51', 'prod29', 'prod70', 'prod78', 'prod42', 'prod17', 'prod40', 'prod69', 'prod82', 'prod63']"
user25,12345,Aria Foster,"['prod45', 'prod92', 'prod31', 'prod63', 'prod85']",['prod64'],"['prod43', 'prod44', 'prod11', 'prod25', 'prod100', 'prod26', 'prod42', 'prod72']","['prod74', 'prod75']","{'prod75': 2, 'prod74': 5}","['prod51', 'prod42', 'prod73', 'prod81', 'prod46', 'prod26', 'prod93', 'prod12', 'prod3', 'prod43', 'prod97', 'prod34', 'prod9', 'prod25', 'prod87', 'prod28', 'prod21', 'prod76', 'prod96', 'prod94']"
user26,12345,Benjamin Turner,"['prod34', 'prod17', 'prod56', 'prod64', 'prod38', 'prod98', 'prod11', 'prod74', 'prod83', 'prod1', 'prod42', 'prod13', 'prod78', 'prod76', 'prod99', 'prod51', 'prod75', 'prod37', 'prod67', 'prod15', 'prod88', 'prod33']","['prod49', 'prod48', 'prod66']","['prod13', 'prod38', 'prod75', 'prod15', 'prod23', 'prod6', 'prod76', 'prod3', 'prod63']","['prod54', 'prod87', 'prod86', 'prod10', 'prod89', 'prod50', 'prod39', 'prod8', 'prod29', 'prod91', 'prod33', 'prod32', 'prod72', 'prod68', 'prod74']",{},"['prod30', 'prod65', 'prod73', 'prod48', 'prod60', 'prod29', 'prod27', 'prod1', 'prod86', 'prod57', 'prod40', 'prod61', 'prod39', 'prod36', 'prod53', 'prod35', 'prod79', 'prod17']"
user27,12345,Luna Garcia,"['prod54', 'prod74', 'prod93', 'prod1', 'prod7', 'prod35', 'prod94']","['prod55', 'prod5', 'prod61', 'prod23']","['prod19', 'prod92', 'prod81', 'prod51', 'prod75', 'prod58', 'prod62', 'prod24']","['prod82', 'prod32', 'prod62', 'prod69', 'prod8', 'prod74', 'prod16', 'prod28', 'prod95', 'prod33', 'prod92', 'prod25', 'prod68', 'prod10']","{'prod74': 1, 'prod69': 2, 'prod10': 2, 'prod25': 1, 'prod62': 5}","['prod37', 'prod8', 'prod52', 'prod12', 'prod35', 'prod62', 'prod16', 'prod15', 'prod41', 'prod95', 'prod84', 'prod58', 'prod22', 'prod27', 'prod46', 'prod21']"
user28,12345,Henry Smith,"['prod81', 'prod14', 'prod19', 'prod15', 'prod86', 'prod20', 'prod42', 'prod66', 'prod84', 'prod16', 'prod98', 'prod83', 'prod7', 'prod91', 'prod34', 'prod63', 'prod94', 'prod46', 'prod33', 'prod74']",['prod92'],"['prod73', 'prod88', 'prod7', 'prod66', 'prod56', 'prod27', 'prod63', 'prod50']","['prod11', 'prod49', 'prod2', 'prod37', 'prod48', 'prod5', 'prod61', 'prod88', 'prod95']",{},"['prod4', 'prod76', 'prod12', 'prod77', 'prod81', 'prod25', 'prod26', 'prod20', 'prod58', 'prod41', 'prod28', 'prod14', 'prod33', 'prod80', 'prod7', 'prod98', 'prod83', 'prod8', 'prod23', 'prod49', 'prod18', 'prod96', 'prod64', 'prod51', 'prod74', 'prod68', 'prod42', 'prod86', 'prod53', 'prod44', 'prod5', 'prod61', 'prod66', 'prod91', 'prod90', 'prod63', 'prod71', 'prod99', 'prod72', 'prod92', 'prod9', 'prod13', 'prod56', 'prod43', 'prod29']"
user29,12345,Stella Rivera,"['prod48', 'prod91', 'prod69', 'prod75', 'prod51', 'prod55', 'prod59', 'prod81', 'prod73', 'prod62', 'prod7', 'prod4', 'prod11', 'prod47', 'prod35', 'prod84', 'prod60', 'prod15', 'prod65', 'prod100', 'prod95']","['prod29', 'prod42', 'prod25', 'prod98', 'prod1', 'prod53', 'prod67', 'prod75']","['prod94', 'prod80', 'prod24', 'prod47', 'prod61', 'prod13', 'prod17']","['prod67', 'prod47']",{},"['prod44', 'prod81', 'prod88', 'prod15', 'prod71', 'prod6', 'prod78', 'prod69', 'prod98', 'prod17', 'prod7', 'prod36', 'prod3', 'prod23', 'prod95', 'prod87', 'prod33', 'prod21', 'prod48', 'prod41', 'prod31', 'prod50']"
user30,12345,Alexander Clark,"['prod36', 'prod19', 'prod14', 'prod46', 'prod52', 'prod98', 'prod42', 'prod67', 'prod77', 'prod75', 'prod54', 'prod64', 'prod38', 'prod58', 'prod95', 'prod81', 'prod51', 'prod35', 'prod84', 'prod87', 'prod91', 'prod100', 'prod69', 'prod44', 'prod11', 'prod61', 'prod78', 'prod88', 'prod43', 'prod99', 'prod2', 'prod18', 'prod40', 'prod65', 'prod48', 'prod59', 'prod49', 'prod83', 'prod79', 'prod1', 'prod94', 'prod7']","['prod86', 'prod19']","['prod76', 'prod54', 'prod26', 'prod52', 'prod16', 'prod91', 'prod4']","['prod17', 'prod76', 'prod55', 'prod80']","{'prod55': 5, 'prod80': 2, 'prod76': 2, 'prod17': 2}","['prod41', 'prod89', 'prod99', 'prod72', 'prod31', 'prod95', 'prod94', 'prod85', 'prod73', 'prod53', 'prod63', 'prod100', 'prod82', 'prod43', 'prod16', 'prod90', 'prod39', 'prod67', 'prod10', 'prod29', 'prod51', 'prod27', 'prod47', 'prod13', 'prod98', 'prod57', 'prod80', 'prod8', 'prod23', 'prod22', 'prod60', 'prod46', 'prod58', 'prod64', 'prod96', 'prod45', 'prod87', 'prod68', 'prod24', 'prod66', 'prod49', 'prod70']"
